Name,C,O,H,V,N,P,Ba,Cr,Zn,Cu,I,S,F,Br,Cl,Ni,Total
F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Cl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Br,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
I,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Me,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Et,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Pr,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10
HCO,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
COOH,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
OH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OMe,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5
OEt,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8
OPr,3,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11
NH2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3
CN,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
NHMe,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,6
NO2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Ph,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SO3H,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5
H,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
